"LeadId","LeadDate","LeadCheckin","LeadCheckout","BookingId","BookingDate","BookingCheckinDate","BookingCheckoutDate","Revenue","Commission","LanguageCode","DeviceCategory","ClientCountryCode","BrandID","Label","HotelID","HotelCountry","HotelCity","HotelName","PaymentMonth","TransactionType","TransactionTypeCode","TransactionStatus","TransactionStatusCode","Vertical","Eid","Pid","Cid","Lid","IntegrationCode","Bookings"
"_ajG$S5v8YA9RSs89A9dww","01/04/2025 00:00:00","01/05/2025 00:00:00","01/06/2025 00:00:00","","","","","3.569777","2.498844","EN","Desktop","US","561434","sem/GwECAA==k-rbo_g-MjUyMTIxMDQ1LjE3MzYwNTIwNjc=_t-gp.........Hybrid-pu.............................................................","9360416","United States","Palm Springs","Newly Remodeled Sunrise Gem","01/01/2025 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-rbo_g-MjUyMTIxMDQ1LjE3MzYwNTIwNjc=_t-gp","Hybrid-pu","kan_235046_561434",""
"_pf77UTTxKdmSHKGDsSB5w","12/28/2024 00:00:00","12/29/2024 00:00:00","12/30/2024 00:00:00","","","","","0.56","0.392","EN","Desktop","US","561434","sem/GwECAA==k-rbo_d-d_u-MTczNTQxNTI3Mzg0MjA0ODUyMA==_g-MjAyNzEHybrid-pu.............................................................","7185872","United States","Sarasota","Kompose Boutique Hotel","12/01/2024 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-rbo_d-d_u-MTczNTQxNTI3Mzg0MjA0ODUyMA==_g-MjAyNzE","Hybrid-pu","kan_235046_561434",""
"$4eNlydwCoe9QGBShx0wTw","01/03/2025 00:00:00","01/04/2025 00:00:00","01/05/2025 00:00:00","","","","","4.28","2.996","EN","Desktop","CA","561434","sem/GwECAA==k-rbo_g-MTY1NjkyMjk3My4xNzM1OTM3MTMz_t-go.........Hybrid-pu.............................................................","468808","Dominican Republic","Punta Cana","Four Points by Sheraton Puntacana Village","01/01/2025 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-rbo_g-MTY1NjkyMjk3My4xNzM1OTM3MTMz_t-go","Hybrid-pu","kan_235046_561434",""
"$aCvY14rmYPlSh0W4ubqJA","01/05/2025 00:00:00","01/06/2025 00:00:00","01/07/2025 00:00:00","","","","","6.1","4.27","EN","Desktop","US","561434","sem/GwECAA==k-rbo_g-MTk2MDQxNDMxMC4xNzM2MTI5ODQy_t-gp.........Hybrid-pu.............................................................","-100","Not Applicable","Not Applicable","Not Applicable","01/01/2025 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-rbo_g-MTk2MDQxNDMxMC4xNzM2MTI5ODQy_t-gp","Hybrid-pu","kan_235046_561434",""
"$gPRdqVq$5YYSLMgifQFFA","01/05/2025 00:00:00","01/06/2025 00:00:00","01/07/2025 00:00:00","","","","","0.824658","0.577261","EN","Desktop","US","561434","sem/GwECAA==k-rbo_g-MTkyOTI1NDYyMi4xNzM2MTIwMTk5_t-oo.........Hybrid-pu.............................................................","-100","Not Applicable","Not Applicable","Not Applicable","01/01/2025 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-rbo_g-MTkyOTI1NDYyMi4xNzM2MTIwMTk5_t-oo","Hybrid-pu","kan_235046_561434",""
"01IxsPzO65TlStDuoFcD5g","12/30/2024 00:00:00","04/24/2025 00:00:00","04/29/2025 00:00:00","","","","","2","1.4","EN","Desktop","US","561434","sem/GwECAA==k-rbo_d-d_u-MTczNTU5MTgyMzgzMTEzMzA5MQ==_g-ODM2MjYHybrid-pu.............................................................","29980","United States","Fort Lauderdale","Pelican Grand Beach Resort, a Noble House Resort","12/01/2024 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-rbo_d-d_u-MTczNTU5MTgyMzgzMTEzMzA5MQ==_g-ODM2MjY","Hybrid-pu","kan_235046_561434",""
"0d8HwZMJTpjHR8nDPlp56g","12/30/2024 00:00:00","12/31/2024 00:00:00","01/01/2025 00:00:00","","","","","0.26058","0.182406","EN","Desktop","US","561434","sem/GwECAA==k-mlfr_g-NzQxNDMwNTQzLjE3MzU1NTE0Mjg=_t-dd........Category-pu...........................................................","-100","Not Applicable","Not Applicable","Not Applicable","12/01/2024 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-mlfr_g-NzQxNDMwNTQzLjE3MzU1NTE0Mjg=_t-dd","Category-pu","kan_235046_561434",""
"1HL9VjgaAo9nT39PAy$ElA","12/31/2024 00:00:00","02/08/2025 00:00:00","02/10/2025 00:00:00","","","","","6.01","4.207","EN","Desktop","US","561434","sem/GwECAA==k-cbn_g-ODk4NTQ0NDI4LjE3MzU3MDE3ODk=_t-gp.........Hybrid-pu.............................................................","30615","United States","Key West","Santa Maria Suites Resort","12/01/2024 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-cbn_g-ODk4NTQ0NDI4LjE3MzU3MDE3ODk=_t-gp","Hybrid-pu","kan_235046_561434",""
"1ozy5gwVaIj0RTXGEnxz$w","12/20/2024 00:00:00","12/21/2024 00:00:00","12/22/2024 00:00:00","","","","","0.25957","0.181699","EN","Desktop","US","561434","sem/GwECAA==k-mlfr_d-d_u-MTczNDY5NjAwNjQ4ODE3MzAxNg==_g-MTIzOTCategory-pu...........................................................","-100","Not Applicable","Not Applicable","Not Applicable","12/01/2024 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-mlfr_d-d_u-MTczNDY5NjAwNjQ4ODE3MzAxNg==_g-MTIzOT","Category-pu","kan_235046_561434",""
"1xceHg_eYJjyQe3g1MeJvQ","01/02/2025 00:00:00","04/11/2025 00:00:00","04/18/2025 00:00:00","","","","","0.258805","0.181164","EN","Desktop","US","561434","sem/GwECAA==k-rbo_g-MTcwMjI5NTEyNC4xNzM1ODc0ODg2_t-gp.........Hybrid-pu.............................................................","-100","Not Applicable","Not Applicable","Not Applicable","01/01/2025 00:00:00","Click","1","Active","1","Hotel","False","deeplinks","k-rbo_g-MTcwMjI5NTEyNC4xNzM1ODc0ODg2_t-gp","Hybrid-pu","kan_235046_561434",""
